,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
360,43,100,3,0.7376605498574074,0.8394749187937858,0.1624804447742816,774
361,45,100,3,0.7411258676544535,0.8394749187937858,0.1624804447742816,793
362,47,100,3,0.7412304376009631,0.8394749187937858,0.1624804447742816,820
363,49,100,3,0.7423046461586889,0.8394749187937858,0.1624804447742816,841
364,0,100,4,0.1259605033365874,0.8294599896757581,0.1259605033365874,1
365,1,100,4,0.1537006487801824,0.8294599896757581,0.1259605033365874,39
366,3,100,4,0.2276676730555702,0.8294599896757581,0.1259605033365874,98
367,5,100,4,0.2508282122984296,0.8294599896757581,0.1259605033365874,152
368,7,100,4,0.3058762791740944,0.8294599896757581,0.1259605033365874,212
369,9,100,4,0.3302913416537559,0.8294599896757581,0.1259605033365874,263
370,11,100,4,0.3665575546965829,0.8294599896757581,0.1259605033365874,313
371,13,100,4,0.3814662889320106,0.8294599896757581,0.1259605033365874,346
372,15,100,4,0.3910643632204676,0.8294599896757581,0.1259605033365874,375
373,17,100,4,0.4011097690419963,0.8294599896757581,0.1259605033365874,424
374,19,100,4,0.4011097690419963,0.8294599896757581,0.1259605033365874,462
375,21,100,4,0.402987017701698,0.8294599896757581,0.1259605033365874,489
376,23,100,4,0.4062425395946563,0.8294599896757581,0.1259605033365874,519
377,25,100,4,0.4091052116524246,0.8294599896757581,0.1259605033365874,556
378,27,100,4,0.4110018453624206,0.8294599896757581,0.1259605033365874,580
379,29,100,4,0.4110018453624206,0.8294599896757581,0.1259605033365874,612
380,31,100,4,0.4110018453624206,0.8294599896757581,0.1259605033365874,638
381,33,100,4,0.4114552158670101,0.8294599896757581,0.1259605033365874,655
382,35,100,4,0.4122535719538535,0.8294599896757581,0.1259605033365874,690
383,37,100,4,0.4129602637533648,0.8294599896757581,0.1259605033365874,715
384,39,100,4,0.413280031057319,0.8294599896757581,0.1259605033365874,737
385,41,100,4,0.413280031057319,0.8294599896757581,0.1259605033365874,761
386,43,100,4,0.4137134237772513,0.8294599896757581,0.1259605033365874,796
387,45,100,4,0.4137134237772513,0.8294599896757581,0.1259605033365874,818
388,47,100,4,0.4137134237772513,0.8294599896757581,0.1259605033365874,838
389,49,100,4,0.4158648953438408,0.8294599896757581,0.1259605033365874,868
390,0,100,5,0.1658020626086939,0.8417455214198867,0.1658020626086939,1
391,1,100,5,0.2360269117068735,0.8417455214198867,0.1658020626086939,44
392,3,100,5,0.3651956000375285,0.8417455214198867,0.1658020626086939,108
393,5,100,5,0.426227334759355,0.8417455214198867,0.1658020626086939,157
394,7,100,5,0.4642650859878388,0.8417455214198867,0.1658020626086939,188
395,9,100,5,0.4994216313012116,0.8417455214198867,0.1658020626086939,233
396,11,100,5,0.5254874050969034,0.8417455214198867,0.1658020626086939,280
397,13,100,5,0.5512454271976379,0.8417455214198867,0.1658020626086939,324
398,15,100,5,0.5721560411423434,0.8417455214198867,0.1658020626086939,368
399,17,100,5,0.582034486691258,0.8417455214198867,0.1658020626086939,399
400,19,100,5,0.5926936012079138,0.8417455214198867,0.1658020626086939,431
401,21,100,5,0.6114034106891496,0.8417455214198867,0.1658020626086939,473
402,23,100,5,0.628774397611593,0.8417455214198867,0.1658020626086939,501
403,25,100,5,0.6413279581318507,0.8417455214198867,0.1658020626086939,533
